pharmacy_name,province,city,address,phone,drug_brand,drug_generic,available_days,pharmacy_url
شبانه روزی دکتر سفیدان زاده,تهران,قرچک,استان تهران - شهرستان قرچک - خیابان اصلی قرچک، روبروی بانک مسکن، نبش خیابان ایتالران 1.,02136122326,,,,https://www.darooyab.ir/ph-11438/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B4%D8%A8%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%DB%8C-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%B3%D9%81%DB%8C%D8%AF%D8%A7%D9%86-%D8%B2%D8%A7%D8%AF%D9%87-%D9%82%D8%B1%DA%86%DA%A9
شبانه روزی دکتر الهه زمانی,تهران,قرچک,استان تهران - شهرستان قرچک - محله باقرآباد، بلوار ورامین، نبش کوچه شهید علیزاده.,02136162753,,,,https://www.darooyab.ir/ph-11470/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B4%D8%A8%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%DB%8C-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%A7%D9%84%D9%87%D9%87-%D8%B2%D9%85%D8%A7%D9%86%DB%8C-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,شیر خشک پپتامن,Milk Powder,تا 13 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,شیر خشک پپتامن جونیور,Milk Powder,تا 13 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,شیر خشک ریسورس جونیور,Milk Powder,تا 13 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,محلول استنشاقی آتیموس 12میکروگرم/دوز 100دوز,Formoterol,تا 11 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,قرص لیوتیرونین ایران هورمون 25 میکروگرم,Liothyronine Sodium,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,قرص متی مازول ایران هورمون 5 میلی گرم,Methimazole,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,شربت تگرتول 100میلی گرم/5میلی لیتر 250میلی لیتر,Carbamazepine,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,قرص یوتیروکس 100 میکروگرم,Levothyroxine Sodium,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,قرص آهسته رهش والپروات ساندوز 500 میلی گرم,Sodium Valproate,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,قرص زنترا 25 میلی گرم,Tetrabenazine,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,قرص فلوتاناکس 250 میلی گرم,Flutamide,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,قرص روفانیب 10 میلی گرم,Tofacitinib,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,قرص روفانیب 5 میلی گرم,Tofacitinib,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,کپسول نالتروکسان-الحاوی 25 میلی گرم,Naltrexone,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,اسپری آتروونت 20میکروگرم/دوز 200دوز,Ipratropium Bromide,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,اسپری بینی نازونکس 0.05%,Mometasone,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,سوسپانسیون خوراکی مژکس-آی 40 میلی گرم/میلی لیتر-مجکس,Megestrol,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,شربت اپیلیم 200میلی گرم/5میلی لیتر 300میلی لیتر,Sodium Valproate,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,اسپری سیمبیکورت رپی هیلر 160/4.5 میکروگرم,Budesonide + Formoterol,تا 9 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر حمیدرضا محمودیان,تهران,قرچک,استان تهران - شهرستان قرچک - محله شهرک طلاییه، بلوار شهید خداداد ملکی، نبش 16 متری اول، بهار جنوبی.,02136150130,کرم واژینال اکوئین 0.625 میلی گرم/گرم,Conjugated Estrogens,تا 11 روز دیگر موجود,https://www.darooyab.ir/ph-11612/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%AD%D9%85%DB%8C%D8%AF%D8%B1%D8%B6%D8%A7-%D9%85%D8%AD%D9%85%D9%88%D8%AF%DB%8C%D8%A7%D9%86-%D9%82%D8%B1%DA%86%DA%A9
روزانه دکتر شفیع پور,تهران,قرچک,استان تهران - شهرستان قرچک - باقرآباد، خیابان داودآباد، تقاطع خیابان شهدا، جنب دارالشفا ولیعصر.,02136104261,کپسول اومنیک 0.4 میلی گرم - امنیک,Tamsulosin,تا 7 روز دیگر موجود,https://www.darooyab.ir/ph-11633/%D8%AF%D8%A7%D8%B1%D9%88%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D8%B2%D8%A7%D9%86%D9%87-%D8%AF%DA%A9%D8%AA%D8%B1-%D8%B4%D9%81%DB%8C%D8%B9-%D9%BE%D9%88%D8%B1-%D9%82%D8%B1%DA%86%DA%A9
